Item,Factor1 Loading,Factor2 Loading,Factor3 Loading,Factor4 Loading,Factor5 Loading,Factor6 Loading,Factor7 Loading,Factor8 Loading,Communalities,Uniqueness,descriptive_name
ENVRTX29,0.5659462496879598,0.5543832250097179,0.14104239114260322,0.09798499947708303,0.17403429208130564,0.03625376203366365,0.03271674079134922,0.05994319732250188,0.6933957760448767,0.3066042239551233,Encouraging suppliers to improve the environmental performance of their processes
ENVRTX41,0.5200291869968107,0.4496817326303767,0.18911085588750312,-0.04594819591454792,0.2725621646620418,0.151680095319901,-0.015540148218250657,0.13734090520863432,0.6269191738840116,0.37308082611598836,"Involvement of suppliers in the re-design of internal processes (e.g. remanufacturing, reduction of by-products)"
ENVRTX40,0.4844764678089841,0.512245430240493,0.23449260621925572,-0.031173891704763746,0.09338108595280467,0.21733996278751572,0.040142044730980805,0.023503661746576848,0.611191915067342,0.38880808493265795,"Co-development with suppliers to reduce the environmental impact of the product (e.g. eco-design, green packaging, recyclability)"
ENVRTX09,0.5815862624177668,0.3209305354818288,0.1672406232676016,0.1337260170222124,0.13068245443213378,0.029214029044832678,-0.02737767161065758,0.13322706751300348,0.5235214147476562,0.47647858525234377,Reduction/avoidance of land consumption
ENVRTX17,0.3159357329429425,0.4703438194578722,0.30663449280227856,0.09324631245226614,-0.09038582427858019,0.13922172930723614,0.1428923071790883,0.11455981456931329,0.48485273252140415,0.5151472674785958,Carbon tracking/carbon footprint calculation of supply chain
ENVRTX07,0.4821102771945054,0.23684704624943909,0.24433768152516197,0.022630941473724096,0.04331629223868167,0.07547572277936687,0.05923015858743813,0.3587084469895891,0.48849275234907596,0.511507247650924,"Remediation projects, such as cleanup or restoration from past practices"
ENVRTX11,0.49291683427161487,0.3927837102009919,0.1764606862584775,0.07519350029704504,0.17241575953509286,0.2089204721704491,-0.07069792582821723,0.05581762062249323,0.515527246105697,0.484472753894303,"Improvements in outbound transportation, such as fuel efficiency or load matching"
ENVRTX10,0.4614608002478469,0.4290144951254554,0.1701709799607736,0.1257373121135203,0.25968205559739627,0.1694304999104959,-0.07493027976412496,0.10988600906913235,0.5555984873853568,0.4444015126146432,"Improvements in inbound transportation, such as fuel efficiency or load matching"
ENVRTX01,0.48167263736705646,0.10799161920467634,0.26830077224770643,0.09532462055635195,-0.04855314779272162,0.1742589727382417,0.17961361676252258,-0.04822198152385028,0.3920528156484818,0.6079471843515182,Energy efficiency or renewable energy
ENVRTX14,0.6922353340950694,0.1850452657422814,0.031015226035185164,0.05439498159335547,0.2206417051492968,-0.059927209588365,0.0771283046883341,-0.05099365758991582,0.5781754274106301,0.4218245725893699,Complying with an industry-wide code of conduct
ENVRTX15,0.6375548240360612,0.24162102115065928,0.0015214975496652885,0.069521893054618,0.16280598813444117,-0.16894090110390142,0.14757988463043592,-0.03660959309993298,0.5478593825749372,0.45214061742506284,Other compliance or auditing program focused on your plant (not on your suppliers)
ENVRTX12,0.26113508996047746,0.05800946074793679,0.13519535903896474,0.12281809244961528,0.011801697828667508,0.03377827283640928,0.7764478729390177,-0.07661597248643891,0.7149402601025877,0.2850597398974123,Seeking or maintaining ISO14001 certification
ENVRTX31,0.3015797102436369,0.50790302197401,0.17394938032839885,0.1763422920829922,-0.10033466266683515,-0.06379004204501973,0.3659935439891716,0.12730758189587785,0.5745655009011873,0.4254344990988127,Requesting that your suppliers sign a code of environmental conduct
